iter,scenario,ms
0,floor,27,214
0,defer,27,818
0,allow,27,438
1,floor,26,378
1,defer,26,988
1,allow,168,518
2,floor,27,635
2,defer,27,899
2,allow,27,861
3,floor,185,006
3,defer,28
3,allow,28,658
4,floor,189,362
4,defer,352,13
4,allow,331,085
5,floor,27,069
5,defer,27,761
5,allow,27,723
6,floor,26,242
6,defer,28,792
6,allow,29,235
7,floor,27,747
7,defer,27,168
7,allow,27,589
8,floor,27,016
8,defer,28,805
8,allow,28,354
9,floor,27,927
9,defer,29,141
9,allow,28,837
10,floor,27,748
10,defer,27,633
10,allow,28,643
11,floor,26,512
11,defer,28,195
11,allow,194,832
12,floor,39,779
12,defer,31,023
12,allow,32,318
13,floor,29,994
13,defer,33,289
13,allow,41,003
14,floor,29,04
14,defer,86,511
14,allow,30,479
15,floor,26,87
15,defer,226,644
15,allow,29,094
16,floor,27,487
16,defer,28,004
16,allow,29,445
17,floor,27,261
17,defer,191,092
17,allow,29,218
18,floor,27,632
18,defer,29,448
18,allow,197,721
19,floor,357,451
19,defer,181,331
19,allow,222,977
20,floor,341,811
20,defer,36,746
20,allow,33,44
21,floor,29,392
21,defer,31,21
21,allow,30,139
22,floor,27,909
22,defer,30,862
22,allow,30,987
23,floor,30,759
23,defer,29,279
23,allow,29,521
24,floor,27,922
24,defer,29,944
24,allow,30,344
25,floor,27,953
25,defer,29,129
25,allow,31,242
26,floor,29,733
26,defer,29,004
26,allow,29,456
27,floor,198,406
27,defer,30,022
27,allow,30,37
28,floor,27,976
28,defer,28,96
28,allow,29,379
29,floor,27,701
29,defer,29,867
29,allow,29,468
30,floor,28,912
30,defer,32,538
30,allow,30,373
31,floor,194,104
31,defer,29,71
31,allow,30,028
32,floor,29,123
32,defer,30,533
32,allow,32,736
33,floor,28,616
33,defer,29,836
33,allow,30,94
34,floor,29,532
34,defer,30,019
34,allow,30,19
35,floor,29
35,defer,30,544
35,allow,31,511
36,floor,31,68
36,defer,32,965
36,allow,33,482
37,floor,31,968
37,defer,32,38
37,allow,32,835
38,floor,30,016
38,defer,31,37
38,allow,30,92
39,floor,31,124
39,defer,33,015
39,allow,31,649
40,floor,29,118
40,defer,30,564
40,allow,34,842
41,floor,30,08
41,defer,33,903
41,allow,35,212
42,floor,31,552
42,defer,30,318
42,allow,31,757
43,floor,29,656
43,defer,31,58
43,allow,31,606
44,floor,30,187
44,defer,30,529
44,allow,30,895
45,floor,29,516
45,defer,30,346
45,allow,30,547
46,floor,39,913
46,defer,31,079
46,allow,32,034
47,floor,28,922
47,defer,31,982
47,allow,41,717
48,floor,30,451
48,defer,30,794
48,allow,207,106
49,floor,27,559
49,defer,28,035
49,allow,30,183
50,floor,27,017
50,defer,28,621
50,allow,27,896
51,floor,26,409
51,defer,27,625
51,allow,27,559
52,floor,26,322
52,defer,27,882
52,allow,28,048
53,floor,27,242
53,defer,28,342
53,allow,33,206
54,floor,25,406
54,defer,27,774
54,allow,27,847
55,floor,27,113
55,defer,27,08
55,allow,27,278
56,floor,26,256
56,defer,27,615
56,allow,28,11
57,floor,26,617
57,defer,26,575
57,allow,26,955
58,floor,27,672
58,defer,27,654
58,allow,187,624
59,floor,26,79
59,defer,28,143
59,allow,27,544
60,floor,28,18
60,defer,28,136
60,allow,28,157
61,floor,25,742
61,defer,27,165
61,allow,27,205
62,floor,27,193
62,defer,28,016
62,allow,28,266
63,floor,32,205
63,defer,26,844
63,allow,26,872
64,floor,30,508
64,defer,27,415
64,allow,166,863
65,floor,28,276
65,defer,27,295
65,allow,26,962
66,floor,26,001
66,defer,28,196
66,allow,27,778
67,floor,26,138
67,defer,27,044
67,allow,193,864
68,floor,27,638
68,defer,28,215
68,allow,29,664
69,floor,26,208
69,defer,184,198
69,allow,29,978
70,floor,29,601
70,defer,197,954
70,allow,196,858
71,floor,176,986
71,defer,331,105
71,allow,27,218
72,floor,27,844
72,defer,27,718
72,allow,29,256
73,floor,27,435
73,defer,26,864
73,allow,31,641
74,floor,27,872
74,defer,27,122
74,allow,25,912
75,floor,27,019
75,defer,27,319
75,allow,27,422
76,floor,27,97
76,defer,30,02
76,allow,27,194
77,floor,26,187
77,defer,27,395
77,allow,28,236
78,floor,27,03
78,defer,188,581
78,allow,29,214
79,floor,26,693
79,defer,28,681
79,allow,28,599
80,floor,26,939
80,defer,27,037
80,allow,27,418
81,floor,26,285
81,defer,27,928
81,allow,27,387
82,floor,26,298
82,defer,181,877
82,allow,27,855
83,floor,35,09
83,defer,27,175
83,allow,27,209
84,floor,26,366
84,defer,28,578
84,allow,37,437
85,floor,27,174
85,defer,27,544
85,allow,28,285
86,floor,27,515
86,defer,26,674
86,allow,29,497
87,floor,29,212
87,defer,31,552
87,allow,34,07
88,floor,34,678
88,defer,29,543
88,allow,31,62
89,floor,27,979
89,defer,27,665
89,allow,27,767
90,floor,26,338
90,defer,27,466
90,allow,27,498
91,floor,29,018
91,defer,28,788
91,allow,27,284
92,floor,26,95
92,defer,30,722
92,allow,28,595
93,floor,26,42
93,defer,27,877
93,allow,28,584
94,floor,30,071
94,defer,26,683
94,allow,27,296
95,floor,26,174
95,defer,30,138
95,allow,32,884
96,floor,30,125
96,defer,28,922
96,allow,27,584
97,floor,26,837
97,defer,27,889
97,allow,27,567
98,floor,27,982
98,defer,28,394
98,allow,28,573
99,floor,27,3
99,defer,27,422
99,allow,28,971
100,floor,26,283
100,defer,28,995
100,allow,28,431
101,floor,26,084
101,defer,29,202
101,allow,186,793
102,floor,26,756
102,defer,27,527
102,allow,29,074
103,floor,28,408
103,defer,27,237
103,allow,28,22
104,floor,26,556
104,defer,27,105
104,allow,32,897
105,floor,27,079
105,defer,27,598
105,allow,27,613
106,floor,26,89
106,defer,27,952
106,allow,27,461
107,floor,27,384
107,defer,27,602
107,allow,28,832
108,floor,27,023
108,defer,29,342
108,allow,32,156
109,floor,26,532
109,defer,27,876
109,allow,28,821
110,floor,28,717
110,defer,32,652
110,allow,28,194
111,floor,26,254
111,defer,27,281
111,allow,27,104
112,floor,26,648
112,defer,180,646
112,allow,27,579
113,floor,26,165
113,defer,27,209
113,allow,27,284
114,floor,25,725
114,defer,27,635
114,allow,27,688
115,floor,26,796
115,defer,27,299
115,allow,28,142
116,floor,25,578
116,defer,27,517
116,allow,28,095
117,floor,26,306
117,defer,27,836
117,allow,27,775
118,floor,25,91
118,defer,187,753
118,allow,29,136
119,floor,26,78
119,defer,26,266
119,allow,27,662
120,floor,26,694
120,defer,27,365
120,allow,27,447
121,floor,26,791
121,defer,27,522
121,allow,186,252
122,floor,26,557
122,defer,27,488
122,allow,27,415
123,floor,26,098
123,defer,27,5
123,allow,180,113
124,floor,26,972
124,defer,27,18
124,allow,189,879
125,floor,29,399
125,defer,346,983
125,allow,655,118
126,floor,37,134
126,defer,27,085
126,allow,27,716
127,floor,26,292
127,defer,27,156
127,allow,26,808
128,floor,27,762
128,defer,29,739
128,allow,29,868
129,floor,27,223
129,defer,28,18
129,allow,29,438
130,floor,27,832
130,defer,28,246
130,allow,28,736
131,floor,27,883
131,defer,28,546
131,allow,29,571
132,floor,26,884
132,defer,27,476
132,allow,188,738
133,floor,26,917
133,defer,28,522
133,allow,31,02
134,floor,27,137
134,defer,27,458
134,allow,28,111
135,floor,27,285
135,defer,28,479
135,allow,28,775
136,floor,28,443
136,defer,27,3
136,allow,26,895
137,floor,26,948
137,defer,27,367
137,allow,27,9
138,floor,27,722
138,defer,27,917
138,allow,27,638
139,floor,26,564
139,defer,27,997
139,allow,30,783
140,floor,26,957
140,defer,27,656
140,allow,28,648
141,floor,27,439
141,defer,28,479
141,allow,28,718
142,floor,27,572
142,defer,27,827
142,allow,29,26
143,floor,27,469
143,defer,29,199
143,allow,29,209
144,floor,27,423
144,defer,29,054
144,allow,29,192
145,floor,27,996
145,defer,28,696
145,allow,28,83
146,floor,26,593
146,defer,27,186
146,allow,30,045
147,floor,26,295
147,defer,30,677
147,allow,28,236
148,floor,26,074
148,defer,27,507
148,allow,28,988
149,floor,26,271
149,defer,26,927
149,allow,27,05
150,floor,26,285
150,defer,27,917
150,allow,28,334
151,floor,25,969
151,defer,27,766
151,allow,28,389
152,floor,27,349
152,defer,27,653
152,allow,27,439
153,floor,26,472
153,defer,26,847
153,allow,183,715
154,floor,26,418
154,defer,27,554
154,allow,28,088
155,floor,26,349
155,defer,32,484
155,allow,29,537
156,floor,26,91
156,defer,27,619
156,allow,28,15
157,floor,27,354
157,defer,28,586
157,allow,27,586
158,floor,28,369
158,defer,27,376
158,allow,28,112
159,floor,25,968
159,defer,27,668
159,allow,28,632
160,floor,27,414
160,defer,26,928
160,allow,27,353
161,floor,26,338
161,defer,26,959
161,allow,28,179
162,floor,26,924
162,defer,27,431
162,allow,27,802
163,floor,29,421
163,defer,29,62
163,allow,28,075
164,floor,27,832
164,defer,27,59
164,allow,27,999
165,floor,27,076
165,defer,185,995
165,allow,31,612
166,floor,27,582
166,defer,28,412
166,allow,29,151
167,floor,26,434
167,defer,31,569
167,allow,28,519
168,floor,27,157
168,defer,27,082
168,allow,27,658
169,floor,26,557
169,defer,27,769
169,allow,28,816
170,floor,27,129
170,defer,27,875
170,allow,26,562
171,floor,27,502
171,defer,27,29
171,allow,185,301
172,floor,26,492
172,defer,27,149
172,allow,28,142
173,floor,26,242
173,defer,28,456
173,allow,29,402
174,floor,26,044
174,defer,39,058
174,allow,27,875
175,floor,27,983
175,defer,200,886
175,allow,29,158
176,floor,35,949
176,defer,28,875
176,allow,28,697
177,floor,26,321
177,defer,182,098
177,allow,29,497
178,floor,27,434
178,defer,185,532
178,allow,27,725
179,floor,179,402
179,defer,191,624
179,allow,481,729
180,floor,27,05
180,defer,27,49
180,allow,27,168
181,floor,26,319
181,defer,28,587
181,allow,29,017
182,floor,26,707
182,defer,27,589
182,allow,28,388
183,floor,26,689
183,defer,26,735
183,allow,30,485
184,floor,27,369
184,defer,29,955
184,allow,29,001
185,floor,26,93
185,defer,27,515
185,allow,29,685
186,floor,27,933
186,defer,30,144
186,allow,185,743
187,floor,27,725
187,defer,28,318
187,allow,30,494
188,floor,29,469
188,defer,28,882
188,allow,29,682
189,floor,27,792
189,defer,29,547
189,allow,27,687
190,floor,26,343
190,defer,27,598
190,allow,27,899
191,floor,26,455
191,defer,27,457
191,allow,26,88
192,floor,27,008
192,defer,26,329
192,allow,27,342
193,floor,25,991
193,defer,26,624
193,allow,28,547
194,floor,27,461
194,defer,28,868
194,allow,28,159
195,floor,27,296
195,defer,27,931
195,allow,29,426
196,floor,27,477
196,defer,28,28
196,allow,28,591
197,floor,26,943
197,defer,27,522
197,allow,27,641
198,floor,26,703
198,defer,28,442
198,allow,28,587
199,floor,27,908
199,defer,28,887
199,allow,31,069
200,floor,26,766
200,defer,28,539
200,allow,28,01
201,floor,26,723
201,defer,27,578
201,allow,27,586
202,floor,25,631
202,defer,27,696
202,allow,28,1
203,floor,26,447
203,defer,28,188
203,allow,27,083
204,floor,27,028
204,defer,28,234
204,allow,28,566
205,floor,26,45
205,defer,28,213
205,allow,28,581
206,floor,27,309
206,defer,29,417
206,allow,28,092
207,floor,178,789
207,defer,27,39
207,allow,27,729
208,floor,25,844
208,defer,28,141
208,allow,27,09
209,floor,26,837
209,defer,27,11
209,allow,32,791
210,floor,26,152
210,defer,27,497
210,allow,27,475
211,floor,26,33
211,defer,27,043
211,allow,27,796
212,floor,26,48
212,defer,27,877
212,allow,27,648
213,floor,26,172
213,defer,26,984
213,allow,28,505
214,floor,26,449
214,defer,28,582
214,allow,27,4
215,floor,26,327
215,defer,37,492
215,allow,28,207
216,floor,27,023
216,defer,29,174
216,allow,30,761
217,floor,27,215
217,defer,27,814
217,allow,29,527
218,floor,189,676
218,defer,27,269
218,allow,28,084
219,floor,34,798
219,defer,27,43
219,allow,29,766
220,floor,28,515
220,defer,27,3
220,allow,27,056
221,floor,26,971
221,defer,27,474
221,allow,27,411
222,floor,27,345
222,defer,27,116
222,allow,27,028
223,floor,26,781
223,defer,28,189
223,allow,28,341
224,floor,26,047
224,defer,182,06
224,allow,29,293
225,floor,27,359
225,defer,27,564
225,allow,28,358
226,floor,26,786
226,defer,30,149
226,allow,29,034
227,floor,28,641
227,defer,29,511
227,allow,27,739
228,floor,180,689
228,defer,27,098
228,allow,31,326
229,floor,26,152
229,defer,27,921
229,allow,27,529
230,floor,180,633
230,defer,27,405
230,allow,27,875
231,floor,187,285
231,defer,27,293
231,allow,184,058
232,floor,508,18
232,defer,27,653
232,allow,28,187
233,floor,26,175
233,defer,28,234
233,allow,28,618
234,floor,26,481
234,defer,27,261
234,allow,28,383
235,floor,28,611
235,defer,29,346
235,allow,27,581
236,floor,26,219
236,defer,28,518
236,allow,27,632
237,floor,29,632
237,defer,29,669
237,allow,28,348
238,floor,26,815
238,defer,27,406
238,allow,27,936
239,floor,169,518
239,defer,27,08
239,allow,28,166
240,floor,26,748
240,defer,28,271
240,allow,27,272
241,floor,26,429
241,defer,27,414
241,allow,27,442
242,floor,27,371
242,defer,27,733
242,allow,27,568
243,floor,26,451
243,defer,27,564
243,allow,27,086
244,floor,26,909
244,defer,27,782
244,allow,28,468
245,floor,26,119
245,defer,28,995
245,allow,29,082
246,floor,26,506
246,defer,27,621
246,allow,29,589
247,floor,26,817
247,defer,31,714
247,allow,28,829
248,floor,26,821
248,defer,27,36
248,allow,27,674
249,floor,26,1
249,defer,26,403
249,allow,29,24
250,floor,25,93
250,defer,27,574
250,allow,27,855
251,floor,25,997
251,defer,27,151
251,allow,27,892
252,floor,27,099
252,defer,28,066
252,allow,27,894
253,floor,24,572
253,defer,28,086
253,allow,28,342
254,floor,26,152
254,defer,27,677
254,allow,26,926
255,floor,26,381
255,defer,27,979
255,allow,27,83
256,floor,26,287
256,defer,27,468
256,allow,39,603
257,floor,26,427
257,defer,28,941
257,allow,28,926
258,floor,26,012
258,defer,27,148
258,allow,29,146
259,floor,27,212
259,defer,30,832
259,allow,29,308
260,floor,182,632
260,defer,27,274
260,allow,27,717
261,floor,35,028
261,defer,30,824
261,allow,28,775
262,floor,26,479
262,defer,32,949
262,allow,29,222
263,floor,26,99
263,defer,28,329
263,allow,27,93
264,floor,28,091
264,defer,32,286
264,allow,30,378
265,floor,30,025
265,defer,29,846
265,allow,30,497
266,floor,28,306
266,defer,28,873
266,allow,29,242
267,floor,28,394
267,defer,29,085
267,allow,28,405
268,floor,27,555
268,defer,28,62
268,allow,30,069
269,floor,28,002
269,defer,27,293
269,allow,28,576
270,floor,25,663
270,defer,26,67
270,allow,184,959
271,floor,29,714
271,defer,131,595
271,allow,30,294
272,floor,27,8
272,defer,28,722
272,allow,29,948
273,floor,26,589
273,defer,28,153
273,allow,28,828
274,floor,27,689
274,defer,28,159
274,allow,32,531
275,floor,26,339
275,defer,26,681
275,allow,29,739
276,floor,27,621
276,defer,27,94
276,allow,186,387
277,floor,25,351
277,defer,27,405
277,allow,26,891
278,floor,27,543
278,defer,27,401
278,allow,26,924
279,floor,26,404
279,defer,27,549
279,allow,27,961
280,floor,27,118
280,defer,27,604
280,allow,27,054
281,floor,163,589
281,defer,27,449
281,allow,26,414
282,floor,25,662
282,defer,26,688
282,allow,27,473
283,floor,26,335
283,defer,189,995
283,allow,27,759
284,floor,26,562
284,defer,28,918
284,allow,183,621
285,floor,26,176
285,defer,183,026
285,allow,183,895
286,floor,329,312
286,defer,29,162
286,allow,28
287,floor,30,55
287,defer,27,824
287,allow,27,818
288,floor,27,085
288,defer,29,079
288,allow,29,218
289,floor,27,133
289,defer,28,514
289,allow,28,684
290,floor,27,27
290,defer,27,296
290,allow,27,002
291,floor,26,378
291,defer,26,913
291,allow,27,092
292,floor,27,163
292,defer,26,398
292,allow,184,579
293,floor,25,846
293,defer,27,398
293,allow,27,568
294,floor,27,08
294,defer,27,382
294,allow,37,852
295,floor,27,614
295,defer,29,15
295,allow,28,076
296,floor,27,168
296,defer,30,554
296,allow,28,271
297,floor,29,425
297,defer,28,263
297,allow,28,446
298,floor,26,15
298,defer,27,055
298,allow,28,006
299,floor,27,995
299,defer,27,199
299,allow,27,801
300,floor,25,704
300,defer,27,599
300,allow,28,15
301,floor,33,703
301,defer,27,646
301,allow,27,749
302,floor,25,25
302,defer,27,838
302,allow,27,853
303,floor,25,951
303,defer,27,322
303,allow,27,626
304,floor,26,435
304,defer,31,873
304,allow,27,566
305,floor,25,957
305,defer,27,945
305,allow,28,356
306,floor,26,76
306,defer,27,064
306,allow,28,005
307,floor,26,862
307,defer,29,437
307,allow,28,988
308,floor,26,49
308,defer,29,479
308,allow,27,957
309,floor,27,508
309,defer,27,393
309,allow,28,915
310,floor,26,67
310,defer,27,855
310,allow,27,167
311,floor,26,447
311,defer,27,624
311,allow,28,603
312,floor,26,664
312,defer,26,708
312,allow,27,217
313,floor,26,333
313,defer,26,825
313,allow,183,381
314,floor,27,086
314,defer,27,849
314,allow,27,432
315,floor,25,896
315,defer,26,826
315,allow,26,247
316,floor,26,632
316,defer,27,245
316,allow,29,424
317,floor,27,375
317,defer,28,981
317,allow,28,819
318,floor,26,676
318,defer,28,186
318,allow,27,879
319,floor,28,944
319,defer,28,989
319,allow,27,787
320,floor,26,602
320,defer,27,962
320,allow,28,886
321,floor,26,173
321,defer,26,521
321,allow,27,846
322,floor,26,318
322,defer,28,065
322,allow,27,4
323,floor,26,959
323,defer,27,394
323,allow,27,506
324,floor,25,998
324,defer,27,97
324,allow,28,246
325,floor,27,902
325,defer,183,175
325,allow,27,845
326,floor,26,755
326,defer,26,721
326,allow,28,477
327,floor,25,678
327,defer,28,956
327,allow,30,06
328,floor,27,153
328,defer,29,02
328,allow,28,72
329,floor,26,346
329,defer,29,352
329,allow,32,802
330,floor,27,74
330,defer,27,393
330,allow,27,577
331,floor,26,276
331,defer,26,907
331,allow,27,69
332,floor,182,204
332,defer,27,884
332,allow,28,415
333,floor,26,206
333,defer,27,59
333,allow,27,757
334,floor,26,821
334,defer,28,368
334,allow,28,086
335,floor,26,058
335,defer,27,52
335,allow,183,212
336,floor,27,934
336,defer,27,547
336,allow,28,936
337,floor,27,73
337,defer,29,699
337,allow,184,386
338,floor,26,761
338,defer,27,259
338,allow,182,98
339,floor,26,272
339,defer,179,567
339,allow,27,492
340,floor,26,024
340,defer,27,502
340,allow,28,616
341,floor,26,134
341,defer,27,978
341,allow,37,495
342,floor,26,936
342,defer,28,948
342,allow,27,694
343,floor,26,43
343,defer,28,061
343,allow,28,282
344,floor,26,852
344,defer,28,83
344,allow,27,642
345,floor,26,55
345,defer,29,033
345,allow,27,073
346,floor,26,025
346,defer,28,409
346,allow,28,363
347,floor,26,488
347,defer,27,365
