iter,scenario,ms,decision
0,floor,34,708,-
0,defer,59,341,defer
0,allow,62,99,allow
1,floor,29,815,-
1,defer,60,762,defer
1,allow,45,736,allow
2,floor,29,194,-
2,defer,50,032,defer
2,allow,47,375,allow
3,floor,29,031,-
3,defer,47,892,defer
3,allow,47,817,allow
4,floor,28,728,-
4,defer,63,515,defer
4,allow,48,424,allow
5,floor,29,338,-
5,defer,48,076,defer
5,allow,48,157,allow
6,floor,29,422,-
6,defer,48,767,defer
6,allow,48,228,allow
7,floor,29,102,-
7,defer,49,921,defer
7,allow,63,932,allow
8,floor,31,774,-
8,defer,61,342,defer
8,allow,61,87,allow
9,floor,28,897,-
9,defer,47,258,defer
9,allow,47,904,allow
10,floor,39,18,-
10,defer,54,771,defer
10,allow,47,97,allow
11,floor,323,584,-
11,defer,54,337,defer
11,allow,46,796,allow
12,floor,29,079,-
12,defer,48,944,defer
12,allow,64,912,allow
13,floor,32,19,-
13,defer,58,523,defer
13,allow,47,678,allow
14,floor,29,202,-
14,defer,48,317,defer
14,allow,48,073,allow
15,floor,29,033,-
15,defer,47,441,defer
15,allow,48,595,allow
16,floor,29,243,-
16,defer,48,246,defer
16,allow,47,656,allow
17,floor,28,702,-
17,defer,336,012,defer
17,allow,49,246,allow
18,floor,30,458,-
18,defer,65,928,defer
18,allow,58,722,allow
19,floor,28,763,-
19,defer,48,847,defer
19,allow,48,083,allow
20,floor,28,876,-
20,defer,47,951,defer
20,allow,47,486,allow
21,floor,29,368,-
21,defer,48,533,defer
21,allow,48,258,allow
22,floor,30,568,-
22,defer,61,674,defer
22,allow,62,731,allow
23,floor,30,212,-
23,defer,49,48,defer
23,allow,47,787,allow
24,floor,30,553,-
24,defer,48,411,defer
24,allow,48,25,allow
25,floor,32,616,-
25,defer,61,931,defer
25,allow,63,45,allow
26,floor,30,364,-
26,defer,45,583,defer
26,allow,47,686,allow
27,floor,28,974,-
27,defer,48,818,defer
27,allow,48,505,allow
28,floor,29,079,-
28,defer,46,44,defer
28,allow,48,667,allow
29,floor,29,352,-
29,defer,48,178,defer
29,allow,345,827,allow
30,floor,29,41,-
30,defer,49,229,defer
30,allow,48,478,allow
31,floor,31,325,-
31,defer,64,309,defer
31,allow,58,364,allow
32,floor,29,482,-
32,defer,49,713,defer
32,allow,46,728,allow
33,floor,28,982,-
33,defer,48,313,defer
33,allow,47,703,allow
34,floor,29,567,-
34,defer,48,765,defer
34,allow,47,862,allow
35,floor,29,558,-
35,defer,62,54,defer
35,allow,350,983,allow
36,floor,32,121,-
36,defer,62,09,defer
36,allow,60,544,allow
37,floor,28,614,-
37,defer,51,054,defer
37,allow,60,973,allow
38,floor,28,82,-
38,defer,50,886,defer
38,allow,48,687,allow
39,floor,38,96,-
39,defer,53,408,defer
39,allow,60,642,allow
40,floor,28,724,-
40,defer,49,763,defer
40,allow,47,446,allow
41,floor,28,607,-
41,defer,50,054,defer
41,allow,47,85,allow
42,floor,28,353,-
42,defer,50,124,defer
42,allow,65,465,allow
43,floor,34,734,-
43,defer,57,686,defer
43,allow,61,463,allow
44,floor,30,586,-
44,defer,45,915,defer
44,allow,64,155,allow
45,floor,29,174,-
45,defer,61,946,defer
45,allow,47,398,allow
46,floor,31,464,-
46,defer,46,825,defer
46,allow,48,524,allow
47,floor,28,522,-
47,defer,48,497,defer
47,allow,64,789,allow
48,floor,326,723,-
48,defer,50,096,defer
48,allow,63,247,allow
49,floor,30,43,-
49,defer,47,603,defer
49,allow,47,904,allow
50,floor,33,787,-
50,defer,66,728,defer
50,allow,56,833,allow
51,floor,28,738,-
51,defer,49,062,defer
51,allow,46,577,allow
52,floor,28,408,-
52,defer,49,334,defer
52,allow,47,193,allow
53,floor,28,206,-
53,defer,49,628,defer
53,allow,47,449,allow
54,floor,29,548,-
54,defer,379,286,defer
54,allow,48,292,allow
55,floor,30,416,-
55,defer,48,068,defer
55,allow,49,586,allow
56,floor,30,017,-
56,defer,46,684,defer
56,allow,48,514,allow
57,floor,29,098,-
57,defer,49,038,defer
57,allow,46,137,allow
58,floor,29,227,-
58,defer,48,249,defer
58,allow,46,606,allow
59,floor,28,988,-
59,defer,50,03,defer
59,allow,46,893,allow
60,floor,29,025,-
60,defer,48,477,defer
60,allow,50,027,allow
61,floor,33,668,-
61,defer,60,142,defer
61,allow,60,52,allow
62,floor,28,795,-
62,defer,48,127,defer
62,allow,46,4,allow
63,floor,28,998,-
63,defer,50,709,defer
63,allow,47,669,allow
64,floor,32,225,-
64,defer,61,808,defer
64,allow,47,626,allow
65,floor,29,872,-
65,defer,47,57,defer
65,allow,63,89,allow
66,floor,28,389,-
66,defer,45,794,defer
66,allow,350,088,allow
67,floor,30,826,-
67,defer,61,166,defer
67,allow,46,856,allow
68,floor,29,343,-
68,defer,48,778,defer
68,allow,46,498,allow
69,floor,29,181,-
69,defer,51,526,defer
69,allow,59,331,allow
70,floor,38,281,-
70,defer,57,485,defer
70,allow,61,652,allow
71,floor,30,636,-
71,defer,48,197,defer
71,allow,47,902,allow
72,floor,30,561,-
72,defer,62,261,defer
72,allow,48,178,allow
73,floor,359,047,-
73,defer,54,254,defer
73,allow,47,539,allow
74,floor,28,625,-
74,defer,49,86,defer
74,allow,48,524,allow
75,floor,29,019,-
75,defer,50,252,defer
75,allow,46,17,allow
76,floor,28,469,-
76,defer,50,074,defer
76,allow,47,881,allow
77,floor,28,486,-
77,defer,49,914,defer
77,allow,47,391,allow
78,floor,28,552,-
78,defer,50,045,defer
78,allow,48,3,allow
79,floor,30,251,-
79,defer,61,942,defer
79,allow,46,177,allow
80,floor,28,972,-
80,defer,50,863,defer
80,allow,48,516,allow
81,floor,29,708,-
81,defer,60,855,defer
81,allow,46,896,allow
82,floor,29,6,-
82,defer,49,557,defer
82,allow,48,664,allow
83,floor,28,488,-
83,defer,48,021,defer
83,allow,47,949,allow
84,floor,28,403,-
84,defer,48,592,defer
84,allow,48,697,allow
85,floor,28,244,-
85,defer,51,009,defer
85,allow,366,708,allow
86,floor,29,409,-
86,defer,47,45,defer
86,allow,47,684,allow
87,floor,28,689,-
87,defer,49,117,defer
87,allow,46,648,allow
88,floor,28,904,-
88,defer,49,674,defer
88,allow,48,046,allow
89,floor,29,387,-
89,defer,50,43,defer
89,allow,47,177,allow
90,floor,28,486,-
90,defer,47,902,defer
90,allow,48,33,allow
91,floor,28,668,-
91,defer,49,362,defer
91,allow,49,625,allow
92,floor,367,867,-
92,defer,55,239,defer
92,allow,47,399,allow
93,floor,29,231,-
93,defer,49,462,defer
93,allow,49,069,allow
94,floor,29,574,-
94,defer,64,221,defer
94,allow,50,444,allow
95,floor,28,731,-
95,defer,46,269,defer
95,allow,48,465,allow
96,floor,28,943,-
96,defer,48,643,defer
96,allow,48,406,allow
97,floor,30,708,-
97,defer,61,585,defer
97,allow,48,2,allow
98,floor,30,598,-
98,defer,46,979,defer
98,allow,47,064,allow
